Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Market,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
ORD-000001,2018-01-31,2018-02-01,Second Class,CUST-0676,Customer_CUST-0676,Corporate,United States,Los Angeles,New York,North America,USCA,PROD-0130,Office Supplies,Art,97.88,1,0.3,29.9,73.84,Medium
ORD-000002,2018-12-30,2019-01-04,Second Class,CUST-0369,Customer_CUST-0369,Corporate,South Korea,Seoul,Seoul,Asia,Asia Pacific,PROD-0450,Office Supplies,Fasteners,191.82,3,0.1,74.06,78.35,Medium
ORD-000003,2017-05-10,2017-05-17,Standard,CUST-0627,Customer_CUST-0627,Consumer,China,Shanghai,Shanghai,Asia,Asia Pacific,PROD-0450,Technology,Copiers,500.39,1,0.0,72.72,55.75,Medium
ORD-000004,2018-07-18,2018-07-24,Second Class,CUST-1128,Customer_CUST-1128,Consumer,Qatar,Doha,Doha,Middle East,Middle East,PROD-0463,Technology,Phones,15581.9,14,0.1,5872.0,79.29,Medium
ORD-000005,2018-02-04,2018-02-09,First Class,CUST-1204,Customer_CUST-1204,Consumer,Argentina,Cordoba,Cordoba,South America,Latin America,PROD-0271,Technology,Machines,1216.13,2,0.5,526.09,1.32,Medium
ORD-000006,2017-12-31,2018-01-03,Second Class,CUST-1313,Customer_CUST-1313,Corporate,Singapore,Singapore,Singapore,Asia,Asia Pacific,PROD-0443,Furniture,Tables,3353.77,3,0.1,288.37,27.82,Low
ORD-000007,2017-11-10,2017-11-16,First Class,CUST-1472,Customer_CUST-1472,Consumer,Netherlands,Rotterdam,Rotterdam,Europe,Europe,PROD-0274,Technology,Storage,1719.33,5,0.0,561.63,65.03,Low
ORD-000008,2015-05-02,2015-05-09,First Class,CUST-1991,Customer_CUST-1991,Consumer,Spain,Madrid,Madrid,Europe,Europe,PROD-0069,Technology,Copiers,5442.32,9,0.3,1151.43,52.09,Medium
ORD-000009,2016-04-11,2016-04-16,Same Day,CUST-1256,Customer_CUST-1256,Consumer,China,Guangzhou,Guangzhou,Asia,Asia Pacific,PROD-0346,Office Supplies,Art,607.91,12,0.4,196.75,11.69,Medium
ORD-000010,2018-05-23,2018-05-27,Second Class,CUST-1349,Customer_CUST-1349,Home Office,Brazil,Sao Paulo,Sao Paulo,South America,Latin America,PROD-0286,Office Supplies,Art,1981.43,11,0.0,253.94,3.57,High
ORD-000011,2015-11-27,2015-11-29,Second Class,CUST-1376,Customer_CUST-1376,Consumer,Singapore,Singapore,Singapore,Asia,Asia Pacific,PROD-0078,Office Supplies,Art,115.27,13,0.0,46.7,38.12,Medium
ORD-000012,2015-03-29,2015-04-04,Standard,CUST-0969,Customer_CUST-0969,Consumer,Chile,Santiago,Santiago,South America,Latin America,PROD-0133,Office Supplies,Storage,44.6,7,0.2,13.07,41.84,High
ORD-000013,2018-10-28,2018-11-04,Second Class,CUST-0670,Customer_CUST-0670,Consumer,Kenya,Nairobi,Nairobi,Africa,Africa,PROD-0424,Furniture,Chairs,1016.42,10,0.0,439.43,55.87,Medium
ORD-000014,2018-01-28,2018-01-30,Standard,CUST-1632,Customer_CUST-1632,Consumer,United States,New York,Florida,North America,USCA,PROD-0405,Office Supplies,Paper,375.15,4,0.1,109.38,24.76,High
ORD-000015,2017-05-21,2017-05-22,Standard,CUST-1255,Customer_CUST-1255,Corporate,Argentina,Buenos Aires,Buenos Aires,South America,Latin America,PROD-0192,Technology,Accessories,2636.44,3,0.0,308.86,68.97,Medium
ORD-000016,2015-05-11,2015-05-16,Standard,CUST-0324,Customer_CUST-0324,Consumer,Japan,Tokyo,Tokyo,Asia,Asia Pacific,PROD-0363,Furniture,Tables,11005.22,14,0.0,3104.74,13.45,Medium
ORD-000017,2018-08-25,2018-08-26,First Class,CUST-0790,Customer_CUST-0790,Consumer,Canada,Montreal,Quebec,North America,USCA,PROD-0264,Technology,Accessories,11990.88,13,0.0,3216.83,12.49,High
ORD-000018,2017-02-08,2017-02-15,First Class,CUST-0827,Customer_CUST-0827,Home Office,Canada,Montreal,Ontario,North America,USCA,PROD-0262,Technology,Phones,14031.13,14,0.2,2348.66,75.52,Medium
ORD-000019,2015-12-10,2015-12-16,Second Class,CUST-0264,Customer_CUST-0264,Corporate,Canada,Montreal,British Columbia,North America,USCA,PROD-0090,Technology,Storage,3760.73,13,0.0,943.27,5.89,Medium
ORD-000020,2018-12-08,2018-12-10,Standard,CUST-0450,Customer_CUST-0450,Consumer,China,Shanghai,Shanghai,Asia,Asia Pacific,PROD-0196,Furniture,Chairs,3107.31,13,0.4,1023.55,53.91,Low
ORD-000021,2017-03-16,2017-03-18,Second Class,CUST-0549,Customer_CUST-0549,Consumer,Italy,Rome,Rome,Europe,Europe,PROD-0314,Office Supplies,Envelopes,612.66,8,0.5,192.17,27.95,Medium
ORD-000022,2016-01-21,2016-01-26,Second Class,CUST-1635,Customer_CUST-1635,Corporate,Germany,Hamburg,Hamburg,Europe,Europe,PROD-0180,Technology,Storage,833.96,8,0.0,156.28,71.38,High
ORD-000023,2018-04-30,2018-05-06,Standard,CUST-1765,Customer_CUST-1765,Corporate,United States,Philadelphia,New York,North America,USCA,PROD-0414,Furniture,Bookcases,4124.25,8,0.1,255.07,17.87,Medium
ORD-000024,2017-08-13,2017-08-17,Standard,CUST-1336,Customer_CUST-1336,Home Office,Colombia,Bogota,Bogota,South America,Latin America,PROD-0227,Office Supplies,Paper,847.63,14,0.0,102.5,46.6,Medium
ORD-000025,2015-10-04,2015-10-08,Standard,CUST-1213,Customer_CUST-1213,Home Office,United States,Chicago,Illinois,North America,USCA,PROD-0441,Furniture,Chairs,413.02,1,0.1,133.61,51.77,Low
ORD-000026,2018-03-30,2018-04-04,Second Class,CUST-1622,Customer_CUST-1622,Corporate,Colombia,Medellin,Medellin,South America,Latin America,PROD-0283,Office Supplies,Fasteners,601.61,7,0.0,110.64,75.09,Critical
ORD-000027,2016-04-04,2016-04-10,Second Class,CUST-0065,Customer_CUST-0065,Consumer,China,Guangzhou,Guangzhou,Asia,Asia Pacific,PROD-0347,Technology,Storage,6562.91,10,0.1,805.37,52.69,High
ORD-000028,2018-08-30,2018-09-04,Standard,CUST-1639,Customer_CUST-1639,Consumer,Morocco,Casablanca,Casablanca,Africa,Africa,PROD-0172,Technology,Storage,8402.36,6,0.0,2943.35,77.47,Low
ORD-000029,2015-01-22,2015-01-28,Same Day,CUST-0426,Customer_CUST-0426,Home Office,United States,Phoenix,Texas,North America,USCA,PROD-0107,Furniture,Storage,10961.75,6,0.0,2060.38,49.2,Medium
ORD-000030,2015-09-10,2015-09-17,Standard,CUST-0624,Customer_CUST-0624,Corporate,Japan,Tokyo,Tokyo,Asia,Asia Pacific,PROD-0069,Furniture,Chairs,12926.04,13,0.3,3018.77,45.69,High
ORD-000031,2017-01-17,2017-01-24,Standard,CUST-0353,Customer_CUST-0353,Corporate,United States,Chicago,Pennsylvania,North America,USCA,PROD-0360,Technology,Copiers,12516.06,12,0.0,3354.91,41.42,High
ORD-000032,2017-05-06,2017-05-07,Standard,CUST-0945,Customer_CUST-0945,Corporate,Canada,Montreal,Alberta,North America,USCA,PROD-0139,Technology,Machines,6970.76,6,0.0,677.56,61.6,Critical
ORD-000033,2016-04-19,2016-04-24,Standard,CUST-0580,Customer_CUST-0580,Corporate,Australia,Sydney,Sydney,Asia,Asia Pacific,PROD-0254,Office Supplies,Binders,189.95,1,0.0,34.95,9.69,Medium
ORD-000034,2017-12-18,2017-12-24,Standard,CUST-1008,Customer_CUST-1008,Corporate,Argentina,Buenos Aires,Buenos Aires,South America,Latin America,PROD-0043,Technology,Accessories,4305.07,14,0.0,1335.09,64.29,Critical
ORD-000035,2016-05-25,2016-05-29,Standard,CUST-1161,Customer_CUST-1161,Consumer,Israel,Tel Aviv,Tel Aviv,Middle East,Middle East,PROD-0126,Furniture,Chairs,20198.58,13,0.2,2118.89,49.38,Medium
ORD-000036,2016-11-30,2016-12-06,Second Class,CUST-0136,Customer_CUST-0136,Consumer,Italy,Rome,Rome,Europe,Europe,PROD-0291,Office Supplies,Paper,40.66,6,0.0,3.09,12.83,Medium
ORD-000037,2017-09-02,2017-09-09,Standard,CUST-1338,Customer_CUST-1338,Consumer,United Kingdom,Manchester,Manchester,Europe,Europe,PROD-0395,Furniture,Chairs,6294.74,9,0.1,2265.12,33.97,Low
ORD-000038,2015-07-09,2015-07-15,Second Class,CUST-1011,Customer_CUST-1011,Corporate,Singapore,Singapore,Singapore,Asia,Asia Pacific,PROD-0486,Furniture,Chairs,635.07,6,0.5,226.36,53.52,Critical
ORD-000039,2017-08-15,2017-08-20,Second Class,CUST-0726,Customer_CUST-0726,Consumer,Qatar,Doha,Doha,Middle East,Middle East,PROD-0230,Furniture,Tables,8445.84,10,0.2,2341.04,2.22,Low
ORD-000040,2016-11-17,2016-11-18,Standard,CUST-1521,Customer_CUST-1521,Corporate,Sweden,Stockholm,Stockholm,Europe,Europe,PROD-0310,Furniture,Bookcases,1790.94,2,0.1,330.41,9.03,Low
ORD-000041,2017-08-15,2017-08-16,First Class,CUST-1898,Customer_CUST-1898,Home Office,Singapore,Singapore,Singapore,Asia,Asia Pacific,PROD-0306,Office Supplies,Binders,531.71,9,0.1,61.1,10.7,Medium
